unique_id,NAME,Education,Immigration,Income,Unemployment,Marital
2020_01001,"Autauga County, Alabama",28.3,2.3,28.599999999999998,1.7,28.9
2020_01003,"Baldwin County, Alabama",31.9,3.4000000000000004,31.6,2.3,27.1
2020_01005,"Barbour County, Alabama",11.6,2.6,10.2,3.2,41.8
2020_01007,"Bibb County, Alabama",11.3,1.6,23.599999999999998,3.6,39.8
2020_01009,"Blount County, Alabama",13.3,4.3999999999999995,21.3,2.7,27.1
2020_01011,"Bullock County, Alabama",10.3,1.5,9.3,1.7,50.6
2020_01013,"Butler County, Alabama",16,1.9,18.099999999999998,3.5,40.3
2020_01015,"Calhoun County, Alabama",18.9,2.5,22.3,4.1,33.2
2020_01017,"Chambers County, Alabama",14.4,1.9,17.299999999999997,2,33.2
2020_01019,"Cherokee County, Alabama",12.9,1.9,16.2,2,23.1
2020_01021,"Chilton County, Alabama",13.6,4.3999999999999995,23.9,3.3,30.5
2020_01023,"Choctaw County, Alabama",13.5,0.8999999999999999,11.5,2.9,27.4
2020_01025,"Clarke County, Alabama",13.8,0.3,12.1,5.5,32.6
2020_01027,"Clay County, Alabama",11.8,1.4000000000000001,16.3,2.8,23.4
2020_01029,"Cleburne County, Alabama",16,1.4000000000000001,19.3,1.7,25
2020_01031,"Coffee County, Alabama",21.7,3.5999999999999996,27.6,3.1,29.1
2020_01033,"Colbert County, Alabama",17.4,1.6,20.599999999999998,2.2,29.5
2020_01035,"Conecuh County, Alabama",13.8,1,10.5,3.4,38.2
2020_01037,"Coosa County, Alabama",11.6,0.5,17,1.2,33.9
2020_01039,"Covington County, Alabama",15.6,0.8,16.2,4.1,26.4
2020_01041,"Crenshaw County, Alabama",18.5,1.7000000000000002,16.3,2.1,32.5
2020_01043,"Cullman County, Alabama",15.4,2.5,20.9,2.8,27.4
2020_01045,"Dale County, Alabama",18.2,3,18.7,4.4,32.7
2020_01047,"Dallas County, Alabama",16.6,0.8999999999999999,8.799999999999999,5.4,43.6
2020_01049,"DeKalb County, Alabama",14,7.199999999999999,16,2.5,25.9
2020_01051,"Elmore County, Alabama",25.8,2,32.1,2.3,32
2020_01053,"Escambia County, Alabama",12.5,0.8,10.6,4.8,41.1
2020_01055,"Etowah County, Alabama",17.7,2.7,18.099999999999998,3.1,30.5
2020_01057,"Fayette County, Alabama",12.3,1,15.4,4.1,22.2
2020_01059,"Franklin County, Alabama",15,9.1,15.1,2.7,32.1
2020_01061,"Geneva County, Alabama",13.1,1.6,15.4,1.9,22.8
2020_01063,"Greene County, Alabama",10.1,0.8,3.5000000000000004,5.3,46.9
2020_01065,"Hale County, Alabama",15.6,0.3,6.800000000000001,4.5,44.1
2020_01067,"Henry County, Alabama",18.9,0.8999999999999999,23.599999999999998,2.8,30.3
2020_01069,"Houston County, Alabama",22.1,2.4,21.5,3.2,33.1
2020_01071,"Jackson County, Alabama",16.2,1.5,16.3,2.6,25.4
2020_01073,"Jefferson County, Alabama",34.1,3.8,26.3,3.8,36.9
2020_01075,"Lamar County, Alabama",11.3,0.8999999999999999,16.3,2.6,25
2020_01077,"Lauderdale County, Alabama",25.1,2.1,20.9,2.6,30.4
2020_01079,"Lawrence County, Alabama",15.8,0.8,19.900000000000002,1.9,26.5
2020_01081,"Lee County, Alabama",36.4,5.5,24.5,2.8,43.2
2020_01083,"Limestone County, Alabama",24.9,3.3000000000000003,33.6,2.9,32.3
2020_01085,"Lowndes County, Alabama",14.7,0.7000000000000001,9.1,5.2,43.3
2020_01087,"Macon County, Alabama",20.5,0.6,10.5,5.6,46
2020_01089,"Madison County, Alabama",43.8,5.4,35.699999999999996,2.9,33.3
2020_01091,"Marengo County, Alabama",17.1,1.0999999999999999,8.6,3.4,33.7
2020_01093,"Marion County, Alabama",13.3,1.4000000000000001,15,3.2,26.4
2020_01095,"Marshall County, Alabama",20.7,7.1,22.400000000000002,2,28.6
2020_01097,"Mobile County, Alabama",24.4,3.1,21.9,3.2,36.2
2020_01099,"Monroe County, Alabama",13.5,0.8,7.8,6.2,37.9
2020_01101,"Montgomery County, Alabama",33.7,4.7,23.799999999999997,3.8,40.7
2020_01103,"Morgan County, Alabama",21.3,4.5,24.5,2.7,30.8
2020_01105,"Perry County, Alabama",17.8,2.1,1.3,4.2,52.1
