unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_01001,2020,AL,AUTAUGA,-44.4,98.5,27770,28.3,2.3,28.6,1.7,28.9
2020_01003,2020,AL,BALDWIN,-53.8,98.6,109679,31.9,3.4000000000000004,31.6,2.3,27.1
2020_01005,2020,AL,BARBOUR,-7.7,99.2,10518,11.6,2.6,10.2,3.2,41.8
2020_01007,2020,AL,BIBB,-57.7,99.1,9595,11.3,1.6,23.6,3.6,39.8
2020_01009,2020,AL,BLOUNT,-80,99.1,27588,13.3,4.3999999999999995,21.3,2.7,27.1
2020_01011,2020,AL,BULLOCK,49.9,99.5,4613,10.3,1.5,9.3,1.7,50.6
2020_01013,2020,AL,BUTLER,-15.7,99.3,9488,16,1.9,18.1,3.5,40.3
2020_01015,2020,AL,CALHOUN,-39,98.7,50983,18.9,2.5,22.3,4.1,33.2
2020_01017,2020,AL,CHAMBERS,-15.6,98.9,15284,14.4,1.9,17.299999999999997,2,33.2
2020_01019,2020,AL,CHEROKEE,-72.8,99.2,12301,12.9,1.9,16.2,2,23.1
2020_01021,2020,AL,CHILTON,-67.4,99.2,19310,13.6,4.3999999999999995,23.9,3.3,30.5
2020_01023,2020,AL,CHOCTAW,-15.7,99.5,7464,13.5,0.8999999999999999,11.5,2.9,27.4
2020_01025,2020,AL,CLARKE,-11.9,99.6,13135,13.8,0.3,12.1,5.5,32.6
2020_01027,2020,AL,CLAY,-62.5,99.1,6930,11.8,1.4,16.3,2.8,23.4
2020_01029,2020,AL,CLEBURNE,-80.4,99.1,7227,16,1.4,19.3,1.7,25
2020_01031,2020,AL,COFFEE,-53.1,98.7,22275,21.7,3.5999999999999996,27.6,3.1,29.1
2020_01033,2020,AL,COLBERT,-38.9,98.8,27886,17.4,1.6,20.6,2.2,29.5
2020_01035,2020,AL,CONECUH,-7.4,99.5,6441,13.8,1,10.5,3.4,38.2
2020_01037,2020,AL,COOSA,-33.5,99.1,5479,11.6,0.5,17,1.2,33.9
2020_01039,2020,AL,COVINGTON,-68.1,99.3,17430,15.6,0.8,16.2,4.1,26.4
2020_01041,2020,AL,CRENSHAW,-47.8,99.2,6617,18.5,1.7000000000000002,16.3,2.1,32.5
2020_01043,2020,AL,CULLMAN,-77.4,98.8,41851,15.4,2.5,20.9,2.8,27.4
2020_01045,2020,AL,DALE,-46.3,98.7,19738,18.2,3,18.7,4.4,32.7
2020_01047,2020,AL,DALLAS,37.5,99.4,17864,16.6,0.8999999999999999,8.799999999999999,5.4,43.6
2020_01049,2020,AL,DEKALB,-69.8,99,29356,14,7.199999999999999,16,2.5,25.9
2020_01051,2020,AL,ELMORE,-48.3,98.8,41030,25.8,2,32.1,2.3,32
2020_01053,2020,AL,ESCAMBIA,-37.4,99.2,15910,12.5,0.8,10.6,4.8,41.1
2020_01055,2020,AL,ETOWAH,-50.2,98.7,47728,17.7,2.7,18.1,3.1,30.5
2020_01057,2020,AL,FAYETTE,-67.4,99.2,8766,12.3,1,15.4,4.1,22.2
2020_01059,2020,AL,FRANKLIN,-65.9,99.1,12578,15,9.1,15.1,2.7,32.1
2020_01061,2020,AL,GENEVA,-73.8,99.2,12545,13.1,1.6,15.4,1.9,22.8
2020_01063,2020,AL,GREENE,63,99.7,4775,10.1,0.8,3.5000000000000004,5.3,46.9
2020_01065,2020,AL,HALE,18.6,99.4,7900,15.6,0.3,6.800000000000001,4.5,44.1
2020_01067,2020,AL,HENRY,-43,99.1,9298,18.9,0.8999999999999999,23.6,2.8,30.3
2020_01069,2020,AL,HOUSTON,-42.7,98.6,46173,22.1,2.4,21.5,3.2,33.1
2020_01071,2020,AL,JACKSON,-67.5,98.9,23636,16.2,1.5,16.3,2.6,25.4
2020_01073,2020,AL,JEFFERSON,13.1,98.4,325848,34.1,3.8,26.3,3.8,36.9
2020_01075,2020,AL,LAMAR,-72.2,99.4,7193,11.3,0.8999999999999999,16.3,2.6,25
2020_01077,2020,AL,LAUDERDALE,-44.7,98.4,44339,25.1,2.1,20.9,2.6,30.4
2020_01079,2020,AL,LAWRENCE,-54.6,99.1,16031,15.8,0.8,19.9,1.9,26.5
2020_01081,2020,AL,LEE,-20.1,98.1,71449,36.4,5.5,24.5,2.8,43.2
