unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_01019,2020,AL,CHEROKEE,-72.8,99.2,-14,-3.8,14,3.8,-55,-69,-72.8,12301,12.9,1.9,16.2,2,23.1
2020_01037,2020,AL,COOSA,-33.5,99.1,-14.2,-3,14.2,3,-16.3,-30.4,-33.5,5479,11.6,0.5,17,1.2,33.9
2020_01059,2020,AL,FRANKLIN,-65.9,99.1,-19.9,-5.5,19.9,5.5,-40.5,-60.4,-65.9,12578,15,9.1,15.1,2.7,32.1
2020_01071,2020,AL,JACKSON,-67.5,98.9,-20.1,-5.5,20.1,5.5,-41.9,-61.9,-67.5,23636,16.2,1.5,16.3,2.6,25.4
2020_01075,2020,AL,LAMAR,-72.2,99.4,-15.5,-3.5,15.5,3.5,-53.2,-68.7,-72.2,7193,11.3,0.8999999999999999,16.3,2.6,25
2020_01079,2020,AL,LAWRENCE,-54.6,99.1,-21.6,-6.1,21.6,6.1,-27,-48.6,-54.6,16031,15.8,0.8,19.9,1.9,26.5
2020_01111,2020,AL,RANDOLPH,-58.7,99.3,-13.3,-5.5,13.3,5.5,-39.9,-53.1,-58.7,10837,17.1,1.6,18.3,2,31.6
2020_01129,2020,AL,WASHINGTON,-48.5,99.4,-11.3,-5.5,11.3,5.5,-31.7,-43,-48.5,8876,14.4,1.3,16.1,3.1,32.3
2020_02013,2020,AK,DISTRICT 13,-25.7,94.9,-24.4,10.1,24.4,10.1,-11.4,-35.9,-25.7,7713,16.6,27.800000000000004,42.9,2.9,41.3
2020_02016,2020,AK,DISTRICT 16,9.3,96,-14.6,8.1,14.6,8.1,15.8,1.2,9.3,8118,17,42,52.2,3.3,36.9
2020_02020,2020,AK,DISTRICT 20,33.3,96.9,45.9,5.8,45.9,5.8,-18.4,27.5,33.3,7497,36.6,10.8,50.1,3.5,38
2020_04011,2020,AZ,GREENLEE,-33.9,98.1,-15,-9.5,15,9.5,-9.5,-24.5,-33.9,3685,16.8,2.6,35.3,1.6,34.4
2020_04027,2020,AZ,YUMA,-6.2,98.4,11.6,-5.1,11.6,5.1,-12.6,-1.1,-6.2,69881,15.4,26.700000000000003,21.2,4.5,33
2020_05003,2020,AR,ASHLEY,-43.2,96.8,-10.9,-6.9,10.9,6.9,-25.4,-36.2,-43.2,7926,12.2,2.5,17.1,2.2,23.7
2020_05021,2020,AR,CLAY,-60.3,97.4,-20.6,-10.6,20.6,10.6,-29.1,-49.7,-60.3,5183,13.6,0.7000000000000001,12.5,3.2,25.5
2020_05049,2020,AR,FULTON,-57.2,97.6,-17.3,-6.8,17.3,6.8,-33.1,-50.4,-57.2,5119,13.2,1.3,10.4,2.2,18.8
2020_05055,2020,AR,GREENE,-59.7,97.7,-15.5,-7.3,15.5,7.3,-36.9,-52.4,-59.7,16100,17.3,0.7000000000000001,22.3,4.4,24.3
2020_05059,2020,AR,HOT SPRING,-48.7,97.8,-13,-6.7,13,6.7,-29,-42.1,-48.7,12557,15.3,1,19.3,2.9,26.9
2020_05065,2020,AR,IZARD,-62.1,97.3,-14.9,-8.4,14.9,8.4,-38.9,-53.8,-62.1,5810,14.5,0.7000000000000001,16.400000000000002,4.5,27.9
2020_05067,2020,AR,JACKSON,-43.8,97.4,-14.4,-11.1,14.4,11.1,-18.3,-32.7,-43.8,5091,11.7,0.6,12.5,4.8,29.2
2020_05071,2020,AR,JOHNSON,-49,97.1,-12.2,-8.8,12.2,8.8,-28,-40.2,-49,9498,16.5,8.9,13.7,2.1,27.9
2020_05075,2020,AR,LAWRENCE,-59.6,96.4,-17.7,-10.3,17.7,10.3,-31.6,-49.3,-59.6,5857,14.4,0.8999999999999999,14.7,4.2,28.5
2020_05079,2020,AR,LINCOLN,-43.8,97.1,-10.7,-12.4,10.7,12.4,-20.8,-31.4,-43.8,3875,8.5,1.9,19.4,0.5,47.5
2020_05087,2020,AR,MADISON,-55.7,98.2,-15.9,-6.9,15.9,6.9,-32.9,-48.8,-55.7,7351,12.1,2.8000000000000003,15.3,4.1,26.6
2020_05097,2020,AR,MONTGOMERY,-59.8,97.5,-10.7,-6.5,10.7,6.5,-42.6,-53.2,-59.8,3873,15.1,2.6,15.1,3.5,20.4
2020_05101,2020,AR,NEWTON,-62.1,97.6,-16.6,-4.1,16.6,4.1,-41.4,-58,-62.1,3998,15.9,0.2,13.8,2.3,22.7
2020_05111,2020,AR,POINSETT,-59.8,97.6,-12.7,-12.8,12.7,12.8,-34.2,-46.9,-59.8,7521,11.5,1.2,14.7,2.5,28.8
2020_05121,2020,AR,RANDOLPH,-60.8,96.4,-20.6,-12.4,20.6,12.4,-27.8,-48.3,-60.8,6812,13.8,3.5999999999999996,16.5,2.2,24.3
2020_05127,2020,AR,SCOTT,-69.8,97,-13,-9.2,13,9.2,-47.6,-60.7,-69.8,3551,12.1,3,16.3,3.3,21
2020_05129,2020,AR,SEARCY,-69.1,98.4,-12.1,-6,12.1,6,-51,-63.1,-69.1,4019,10.9,0.7000000000000001,10.2,1.8,21.2
2020_05135,2020,AR,SHARP,-60,97,-15.4,-5.7,15.4,5.7,-38.8,-54.3,-60,7566,10.5,0.7000000000000001,10.6,2.4,23
2020_05141,2020,AR,VAN BUREN,-56.9,97.7,-12.8,-4.7,12.8,4.7,-39.4,-52.2,-56.9,7807,15.8,1.5,14.499999999999998,3.2,21.4
2020_05147,2020,AR,WOODRUFF,-27.7,96.9,-13.1,-18.8,13.1,18.8,4.2,-8.9,-27.7,2476,15.1,0.1,14.499999999999998,3.3,18.4
2020_06041,2020,CA,MARIN,66.5,98.1,11.1,4.1,11.1,4.1,51.3,62.4,66.5,155830,60.2,18.3,79.60000000000001,2.9,30.3
2020_06073,2020,CA,SAN DIEGO,22.8,97.7,12.2,3,12.2,3,7.6,19.7,22.8,1602143,39.5,22.9,48.2,3.9,40.4
2020_06083,2020,CA,SANTA BARBARA,32.1,97.7,10.6,3.3,10.6,3.3,18.1,28.7,32.1,200339,35,22.7,45.4,3.6,42.8
2020_06111,2020,CA,VENTURA,21.1,97.8,10.6,3.4,10.6,3.4,7,17.6,21.1,422825,33.9,21.3,53.7,3.3,38.4
2020_08011,2020,CO,BENT,-33.9,98.3,-17.6,-2.9,17.6,2.9,-13.4,-31,-33.9,2274,15.1,3.9,12.7,1.5,38.7
2020_08021,2020,CO,CONEJOS,-7.5,98,-12.8,-4,12.8,4,9.2,-3.6,-7.5,4333,25.5,2.1999999999999997,9.1,5.5,33.5
2020_08033,2020,CO,DOLORES,-51.6,98.7,-13.8,4.3,13.8,4.3,-42.2,-55.9,-51.6,1449,26.1,1.1,27.6,2,26.5
2020_08043,2020,CO,FREMONT,-39.7,97.4,-13,5,13,5,-31.7,-44.7,-39.7,25557,18.5,2.6,24.1,2.1,32
2020_08047,2020,CO,GILPIN,9.3,96.9,-14.5,7.4,14.5,7.4,16.4,1.9,9.3,4186,44.3,4.1000000000000005,54.7,1.4,27
2020_08055,2020,CO,HUERFANO,-2.9,97.1,-14.9,3.7,14.9,3.7,8.3,-6.6,-2.9,4406,23.6,2.3,14.4,1,28.4
2020_08065,2020,CO,LAKE,20.3,95.9,-13.6,9.5,13.6,9.5,24.4,10.8,20.3,3961,40.3,10,34.9,2.5,34.1
