county_fips,State,County,"Margin, 2020",DR,DP2_education_bachelormin_PE,DP3_median_income_norm,totalvotes,delta_2012_16,delta_2016_20
13273,GA,TERRELL,8.4,D,10.2,10.4," 4,416 ",6.76,0.96
37007,NC,ANSON,4.2,D,11.1,14," 11,194 ",12.52,8.65
45049,SC,HAMPTON,15.2,D,11.3,12.7," 9,305 ",8.29,3.87
01005,AL,BARBOUR,-7.7,R,11.6,10.2," 10,518 ",8.71,2.09
13163,GA,JEFFERSON,6.9,D,10.7,11.8," 7,642 ",6.41,4.02
13319,GA,WILKINSON,-12.3,R,11.2,11.7," 4,770 ",8.78,2.11
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
