unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital,kmeans_labels,dbscan_labels
2020_12013,2020,FL,CALHOUN,-62.3,99.3,-12.2,-6.1,12.2,6.1,-43.9,-56.1,-62.3,6526,9.1,2.6,12.6,1.7,39.9,5,1
2020_12029,2020,FL,DIXIE,-66.0,99.5,-16.3,-2.8,16.3,2.8,-46.9,-63.2,-66.0,8167,9.5,2.7,15.5,1.6,31.4,5,1
2020_16019,2020,ID,BONNEVILLE,-43.6,96.4,11.6,-3.4,11.6,3.4,-51.8,-40.2,-43.6,53995,30.9,4.9,31.4,2.5,29.0,4,2
2020_16031,2020,ID,CASSIA,-66.9,97.3,12.1,-6.8,12.1,6.8,-72.1,-60.1,-66.9,9629,19.4,9.0,24.0,2.1,27.3,4,3
2020_48335,2020,TX,MITCHELL,-68.7,99.5,-12.3,-3.8,12.3,3.8,-52.6,-64.9,-68.7,2579,12.1,3.5000000000000004,18.1,1.4,45.7,5,1
2020_49003,2020,UT,BOX ELDER,-63.2,96.3,27.5,-12.8,27.5,12.8,-77.9,-50.4,-63.2,27023,23.7,3.1,33.1,2.0,28.1,4,3
2020_49005,2020,UT,CACHE,-36.6,93.7,40.8,-9.4,40.8,9.4,-68.1,-27.2,-36.6,58358,38.5,6.4,30.6,2.0,35.8,4,2
2020_49011,2020,UT,DAVIS,-27.5,95.1,37.8,-3.4,37.8,3.4,-61.9,-24.2,-27.5,169814,38.2,5.3,52.3,1.8,29.3,4,2
2020_49017,2020,UT,GARFIELD,-60.2,97.8,16.6,-6.9,16.6,6.9,-69.8,-53.2,-60.2,2732,25.4,2.8000000000000003,17.599999999999998,1.7,26.9,4,3
2020_49021,2020,UT,IRON,-56.2,95.1,20.6,-4.5,20.6,4.5,-72.2,-51.6,-56.2,25104,28.9,4.0,23.8,3.0,32.4,4,2
2020_49023,2020,UT,JUAB,-75.7,97.7,18.4,-18.6,18.4,18.6,-75.5,-57.1,-75.7,5865,18.7,2.9000000000000004,36.9,2.3,31.3,4,3
2020_49027,2020,UT,MILLARD,-77.2,97.4,15.1,-11.8,15.1,11.8,-80.5,-65.4,-77.2,6190,22.4,6.1,32.800000000000004,2.3,22.5,4,3
2020_49033,2020,UT,RICH,-71.4,97.7,20.1,-8.9,20.1,8.9,-82.6,-62.5,-71.4,1369,22.0,4.8,33.300000000000004,1.4,31.7,4,3
2020_49039,2020,UT,SANPETE,-68.6,97.1,22.6,-13.4,22.6,13.4,-77.8,-55.2,-68.6,12625,20.7,5.3,26.9,2.4,35.2,4,3
2020_49045,2020,UT,TOOELE,-38.3,95.1,20.4,-8.1,20.4,8.1,-50.6,-30.2,-38.3,31506,23.1,4.1000000000000005,43.6,3.6,30.8,4,2
2020_49049,2020,UT,UTAH,-41.1,94.6,42.0,-4.5,42.0,4.5,-78.6,-36.5,-41.1,284286,41.1,7.3,43.9,2.6,34.7,4,2
